row_num,order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,eommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,10285,61,QUICK-Stop,1,Chai,Beverages,,45,14.4,,Germany,Cunewalde,,,,
2,10294,63,Rattlesnake Canyon Grocery,1,Chai,Beverages,,18,14.4,,USA,Albuquerque,,,,
3,10317,47,Lonesome Pine Restaurant,1,Chai,Beverages,,20,14.4,,USA,Portland,,,,
4,10348,84,Die Wandernde Kuh,1,Chai,Beverages,,15,14.4,,Germany,Stuttgart,,,,
5,10354,56,Pericles Comidas clásicas,1,Chai,Beverages,,12,14.4,,Mexico,México D.F.,,,,
6,10370,14,Chop-suey Chinese,1,Chai,Beverages,,15,14.4,,Switzerland,Bern,,,,
7,10406,60,Queen Cozinha,1,Chai,Beverages,,10,14.4,,Brazil,São Paulo,,,,
8,10413,40,La maison d'Asie,1,Chai,Beverages,,24,14.4,,France,Toulouse,,,,
9,10477,58,Princesa Isabel Vinhos,1,Chai,Beverages,,15,14.4,,Portugal,Lisboa,,,,
10,10522,43,Lehmanns Marktstand,1,Chai,Beverages,,40,18,,Germany,Frankfurt a.M. ,,,,
11,10526,85,Wartian Herkku,1,Chai,Beverages,,8,18,,Finland,Oulu,,,,
12,10576,78,Tortuga Restaurante,1,Chai,Beverages,,10,18,,Mexico,México D.F.,,,,
13,10590,50,Mère Paillarde,1,Chai,Beverages,,20,18,,Canada,Montréal,,,,
14,10609,18,Du monde entier,1,Chai,Beverages,,3,18,,France,Nantes,,,,
15,10611,89,Wolski  Zajazd,1,Chai,Beverages,,6,18,,Poland,Warszawa,,,,
16,10628,7,Blondel père et fils,1,Chai,Beverages,,25,18,,France,Strasbourg,,,,
17,10646,36,Hungry Owl All-Night Grocers,1,Chai,Beverages,,15,18,,Ireland,Cork,,,,
18,10689,5,Berglunds snabbköp,1,Chai,Beverages,,35,18,,Sweden,Luleå,,,,
19,10691,61,QUICK-Stop,1,Chai,Beverages,,30,18,,Germany,Cunewalde,,,,
20,10700,69,Save-a-lot Markets,1,Chai,Beverages,,5,18,,USA,Boise,,,,
21,10729,46,LINO-Delicateses,1,Chai,Beverages,,50,18,,Venezuela,I. de Margarita,,,,
22,10752,52,North/South,1,Chai,Beverages,,8,18,,UK,London,,,,
23,10838,46,LINO-Delicateses,1,Chai,Beverages,,4,18,,Venezuela,I. de Margarita,,,,
24,10847,69,Save-a-lot Markets,1,Chai,Beverages,,80,18,,USA,Boise,,,,
25,10863,34,HILARIÓN-Abastos,1,Chai,Beverages,,20,18,,Venezuela,San Cristóbal,,,,
26,10869,70,Seven Seas Imports,1,Chai,Beverages,,40,18,,UK,London,,,,
27,10905,86,Wellington Importadora,1,Chai,Beverages,,20,18,,Brazil,Resende,,,,
28,10911,29,Godos Cocina Típica,1,Chai,Beverages,,10,18,,Spain,Sevilla,,,,
29,10918,10,Bottom-Dollar Markets,1,Chai,Beverages,,60,18,,Canada,Tsawassen,,,,
30,10935,86,Wellington Importadora,1,Chai,Beverages,,21,18,,Brazil,Resende,,,,
31,11003,76,The Cracker Box,1,Chai,Beverages,,4,18,,USA,Butte,,,,
32,11005,88,Wilman Kala,1,Chai,Beverages,,2,18,,Finland,Helsinki,,,,
33,11006,31,Great Lakes Food Market,1,Chai,Beverages,,8,18,,USA,Eugene,,,,
34,11025,85,Wartian Herkku,1,Chai,Beverages,,10,18,,Finland,Oulu,,,,
35,11031,69,Save-a-lot Markets,1,Chai,Beverages,,45,18,,USA,Boise,,,,
36,11035,74,Suprêmes délices,1,Chai,Beverages,,10,18,,Belgium,Charleroi,,,,
37,11047,19,Eastern Connection,1,Chai,Beverages,,25,18,,UK,London,,,,
38,11070,43,Lehmanns Marktstand,1,Chai,Beverages,,40,18,,Germany,Frankfurt a.M. ,,,,
39,10255,66,Richter Supermarkt,2,Chang,Beverages,,20,15.2,,Switzerland,Genève,,,,
40,10258,20,Ernst Handel,2,Chang,Beverages,,50,15.2,,Austria,Graz,,,,
41,10264,23,Folk och fä HB,2,Chang,Beverages,,35,15.2,,Sweden,Bräcke,,,,
42,10298,36,Hungry Owl All-Night Grocers,2,Chang,Beverages,,40,15.2,,Ireland,Cork,,,,
43,10327,23,Folk och fä HB,2,Chang,Beverages,,25,15.2,,Sweden,Bräcke,,,,
44,10335,36,Hungry Owl All-Night Grocers,2,Chang,Beverages,,7,15.2,,Ireland,Cork,,,,
45,10342,24,Frankenversand,2,Chang,Beverages,,24,15.2,,Germany,München,,,,
46,10393,69,Save-a-lot Markets,2,Chang,Beverages,,25,15.2,,USA,Boise,,,,
47,10418,61,QUICK-Stop,2,Chang,Beverages,,60,15.2,,Germany,Cunewalde,,,,
48,10435,16,Consolidated Holdings,2,Chang,Beverages,,10,15.2,,UK,London,,,,
49,10440,69,Save-a-lot Markets,2,Chang,Beverages,,45,15.2,,USA,Boise,,,,
50,10469,87,White Clover Markets,2,Chang,Beverages,,40,15.2,,USA,Seattle,,,,
51,10485,46,LINO-Delicateses,2,Chang,Beverages,,20,15.2,,Venezuela,I. de Margarita,,,,
52,10504,87,White Clover Markets,2,Chang,Beverages,,12,19,,USA,Seattle,,,,
53,10611,89,Wolski  Zajazd,2,Chang,Beverages,,10,19,,Poland,Warszawa,,,,
54,10622,65,Ricardo Adocicados,2,Chang,Beverages,,20,19,,Brazil,Rio de Janeiro,,,,
55,10632,84,Die Wandernde Kuh,2,Chang,Beverages,,30,19,,Germany,Stuttgart,,,,
56,10641,34,HILARIÓN-Abastos,2,Chang,Beverages,,50,19,,Venezuela,San Cristóbal,,,,
57,10703,23,Folk och fä HB,2,Chang,Beverages,,5,19,,Sweden,Bräcke,,,,
58,10714,69,Save-a-lot Markets,2,Chang,Beverages,,30,19,,USA,Boise,,,,
59,10722,69,Save-a-lot Markets,2,Chang,Beverages,,3,19,,USA,Boise,,,,
60,10741,4,Around the Horn,2,Chang,Beverages,,15,19,,UK,London,,,,
61,10766,55,Ottilies Käseladen,2,Chang,Beverages,,40,19,,Germany,Köln,,,,
62,10787,40,La maison d'Asie,2,Chang,Beverages,,15,19,,France,Toulouse,,,,
63,10792,89,Wolski  Zajazd,2,Chang,Beverages,,10,19,,Poland,Warszawa,,,,
64,10806,82,Victuailles en stock,2,Chang,Beverages,,20,19,,France,Lyon,,,,
65,10813,65,Ricardo Adocicados,2,Chang,Beverages,,12,19,,Brazil,Rio de Janeiro,,,,
66,10829,37,Island Trading,2,Chang,Beverages,,10,19,,UK,Cowes,,,,
67,10851,65,Ricardo Adocicados,2,Chang,Beverages,,5,19,,Brazil,Rio de Janeiro,,,,
68,10852,63,Rattlesnake Canyon Grocery,2,Chang,Beverages,,15,19,,USA,Albuquerque,,,,
69,10856,3,Antonio Moreno Taquería,2,Chang,Beverages,,20,19,,Mexico,México D.F.,,,,
70,10866,5,Berglunds snabbköp,2,Chang,Beverages,,21,19,,Sweden,Luleå,,,,
71,10885,74,Suprêmes délices,2,Chang,Beverages,,20,19,,Belgium,Charleroi,,,,
72,10888,29,Godos Cocina Típica,2,Chang,Beverages,,20,19,,Spain,Sevilla,,,,
73,10939,48,Magazzini Alimentari Riuniti,2,Chang,Beverages,,10,19,,Italy,Bergamo,,,,
74,10991,61,QUICK-Stop,2,Chang,Beverages,,50,19,,Germany,Cunewalde,,,,
75,11021,61,QUICK-Stop,2,Chang,Beverages,,11,19,,Germany,Cunewalde,,,,
76,11030,69,Save-a-lot Markets,2,Chang,Beverages,,100,19,,USA,Boise,,,,
77,11041,14,Chop-suey Chinese,2,Chang,Beverages,,30,19,,Switzerland,Bern,,,,
78,11049,30,Gourmet Lanchonetes,2,Chang,Beverages,,10,19,,Brazil,Campinas,,,,
79,11070,43,Lehmanns Marktstand,2,Chang,Beverages,,20,19,,Germany,Frankfurt a.M. ,,,,
80,11072,20,Ernst Handel,2,Chang,Beverages,,8,19,,Austria,Graz,,,,
81,11075,66,Richter Supermarkt,2,Chang,Beverages,,10,19,,Switzerland,Genève,,,,
82,11077,63,Rattlesnake Canyon Grocery,2,Chang,Beverages,,24,19,,USA,Albuquerque,,,,
83,10289,11,B's Beverages,3,Aniseed Syrup,Condiments,,30,8,,UK,London,,,,
84,10405,46,LINO-Delicateses,3,Aniseed Syrup,Condiments,,50,8,,Venezuela,I. de Margarita,,,,
85,10485,46,LINO-Delicateses,3,Aniseed Syrup,Condiments,,20,8,,Venezuela,I. de Margarita,,,,
86,10540,61,QUICK-Stop,3,Aniseed Syrup,Condiments,,60,10,,Germany,Cunewalde,,,,
87,10591,81,Vaffeljernet,3,Aniseed Syrup,Condiments,,14,10,,Denmark,Århus,,,,
88,10702,1,Alfreds Futterkiste,3,Aniseed Syrup,Condiments,,6,10,,Germany,Berlin,,,,
89,10742,10,Bottom-Dollar Markets,3,Aniseed Syrup,Condiments,,20,10,,Canada,Tsawassen,,,,
90,10764,20,Ernst Handel,3,Aniseed Syrup,Condiments,,20,10,,Austria,Graz,,,,
91,10849,38,Königlich Essen,3,Aniseed Syrup,Condiments,,49,10,,Germany,Brandenburg,,,,
92,10857,5,Berglunds snabbköp,3,Aniseed Syrup,Condiments,,30,10,,Sweden,Luleå,,,,
93,11017,20,Ernst Handel,3,Aniseed Syrup,Condiments,,25,10,,Austria,Graz,,,,
94,11077,63,Rattlesnake Canyon Grocery,3,Aniseed Syrup,Condiments,,4,10,,USA,Albuquerque,,,,
95,10309,36,Hungry Owl All-Night Grocers,4,Chef Anton's Cajun Seasoning,Condiments,,20,17.6,,Ireland,Cork,,,,
96,10326,8,Bólido Comidas preparadas,4,Chef Anton's Cajun Seasoning,Condiments,,24,17.6,,Spain,Madrid,,,,
97,10336,58,Princesa Isabel Vinhos,4,Chef Anton's Cajun Seasoning,Condiments,,18,17.6,,Portugal,Lisboa,,,,
98,10339,50,Mère Paillarde,4,Chef Anton's Cajun Seasoning,Condiments,,10,17.6,,Canada,Montréal,,,,
99,10344,87,White Clover Markets,4,Chef Anton's Cajun Seasoning,Condiments,,35,17.6,,USA,Seattle,,,,
100,10464,27,Furia Bacalhau e Frutos do Mar,4,Chef Anton's Cajun Seasoning,Condiments,,16,17.6,,Portugal,Lisboa,,,,
101,10511,9,Bon app',4,Chef Anton's Cajun Seasoning,Condiments,,50,22,,France,Marseille,,,,
102,10527,61,QUICK-Stop,4,Chef Anton's Cajun Seasoning,Condiments,,50,22,,Germany,Cunewalde,,,,
103,10533,23,Folk och fä HB,4,Chef Anton's Cajun Seasoning,Condiments,,50,22,,Sweden,Bräcke,,,,
104,10606,79,Tradição Hipermercados,4,Chef Anton's Cajun Seasoning,Condiments,,20,22,,Brazil,São Paulo,,,,
105,10635,48,Magazzini Alimentari Riuniti,4,Chef Anton's Cajun Seasoning,Condiments,,10,22,,Italy,Bergamo,,,,
106,10636,85,Wartian Herkku,4,Chef Anton's Cajun Seasoning,Condiments,,25,22,,Finland,Oulu,,,,
107,10654,5,Berglunds snabbköp,4,Chef Anton's Cajun Seasoning,Condiments,,12,22,,Sweden,Luleå,,,,
108,10704,60,Queen Cozinha,4,Chef Anton's Cajun Seasoning,Condiments,,6,22,,Brazil,São Paulo,,,,
109,10726,19,Eastern Connection,4,Chef Anton's Cajun Seasoning,Condiments,,25,22,,UK,London,,,,
110,10846,74,Suprêmes délices,4,Chef Anton's Cajun Seasoning,Condiments,,21,22,,Belgium,Charleroi,,,,
111,10913,60,Queen Cozinha,4,Chef Anton's Cajun Seasoning,Condiments,,30,22,,Brazil,São Paulo,,,,
112,10950,48,Magazzini Alimentari Riuniti,4,Chef Anton's Cajun Seasoning,Condiments,,5,22,,Italy,Bergamo,,,,
113,11000,63,Rattlesnake Canyon Grocery,4,Chef Anton's Cajun Seasoning,Condiments,,25,22,,USA,Albuquerque,,,,
114,11077,63,Rattlesnake Canyon Grocery,4,Chef Anton's Cajun Seasoning,Condiments,,1,22,,USA,Albuquerque,,,,
115,10258,20,Ernst Handel,5,Chef Anton's Gumbo Mix,Condiments,,65,17,,Austria,Graz,,,,
116,10262,63,Rattlesnake Canyon Grocery,5,Chef Anton's Gumbo Mix,Condiments,,12,17,,USA,Albuquerque,,,,
117,10290,15,Comércio Mineiro,5,Chef Anton's Gumbo Mix,Condiments,,20,17,,Brazil,São Paulo,,,,
118,10382,20,Ernst Handel,5,Chef Anton's Gumbo Mix,Condiments,,32,17,,Austria,Graz,,,,
119,10635,48,Magazzini Alimentari Riuniti,5,Chef Anton's Gumbo Mix,Condiments,,15,21.35,,Italy,Bergamo,,,,
120,10708,75,The Big Cheese,5,Chef Anton's Gumbo Mix,Condiments,,4,21.35,,USA,Portland,,,,
121,10848,16,Consolidated Holdings,5,Chef Anton's Gumbo Mix,Condiments,,30,21.35,,UK,London,,,,
122,10958,53,Océano Atlántico Ltda.,5,Chef Anton's Gumbo Mix,Condiments,,20,21.35,,Argentina,Buenos Aires,,,,
123,11030,69,Save-a-lot Markets,5,Chef Anton's Gumbo Mix,Condiments,,70,21.35,,USA,Boise,,,,
124,11047,19,Eastern Connection,5,Chef Anton's Gumbo Mix,Condiments,,30,21.35,,UK,London,,,,
125,10309,36,Hungry Owl All-Night Grocers,6,Grandma's Boysenberry Spread,Condiments,,30,20,,Ireland,Cork,,,,
126,10325,38,Königlich Essen,6,Grandma's Boysenberry Spread,Condiments,,6,20,,Germany,Brandenburg,,,,
127,10618,50,Mère Paillarde,6,Grandma's Boysenberry Spread,Condiments,,70,25,,Canada,Montréal,,,,
128,10734,30,Gourmet Lanchonetes,6,Grandma's Boysenberry Spread,Condiments,,30,25,,Brazil,Campinas,,,,
129,10830,79,Tradição Hipermercados,6,Grandma's Boysenberry Spread,Condiments,,6,25,,Brazil,São Paulo,,,,
130,10871,9,Bon app',6,Grandma's Boysenberry Spread,Condiments,,50,25,,France,Marseille,,,,
131,10934,43,Lehmanns Marktstand,6,Grandma's Boysenberry Spread,Condiments,,20,25,,Germany,Frankfurt a.M. ,,,,
132,10949,10,Bottom-Dollar Markets,6,Grandma's Boysenberry Spread,Condiments,,12,25,,Canada,Tsawassen,,,,
133,10952,1,Alfreds Futterkiste,6,Grandma's Boysenberry Spread,Condiments,,16,25,,Germany,Berlin,,,,
134,10989,59,Que Delícia,6,Grandma's Boysenberry Spread,Condiments,,40,25,,Brazil,Rio de Janeiro,,,,
135,11076,9,Bon app',6,Grandma's Boysenberry Spread,Condiments,,20,25,,France,Marseille,,,,
