row_num,order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,price,datetime,country,city,eommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
396,10573,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,7/28/2022 16:37,Mexico,Mexico City,globalfood.com,INTGFD23DB3D1142,Y,
3024,11414,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,Internet Banking,39,7/5/2022 4:18,Mexico,Mexico City,internationalfoodshop.com,INTGFD23DB3D4075,N,Transaction Cancelled
5179,12250,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,Internet Banking,39,12/24/2021 15:11,Mexico,Mexico City,globalfood.com,INTGFD23DB3D7001,Y,
7334,13086,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,UPI,39,12/12/2021 17:41,Mexico,Mexico City,internationalfood.com,INTGFD23DB3D911,Y,
9489,13922,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,Wire Transfer,39,11/16/2021 4:34,Mexico,Mexico City,globalfood.com,INTGFD23DB3D3837,Y,
405,10801,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,Internet Banking,39,3/8/2022 6:53,Spain,Madrid,amazon.com,INTGFD23DB3C170,N,Bank Declined
3602,11638,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,Internet Banking,39,4/15/2022 15:32,Spain,Madrid,yummybazaar.com,INTGFD23DB3D4859,Y,
5757,12474,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,Internet Banking,39,8/21/2021 4:16,Spain,Madrid,internationalfood.com,INTGFD23DB3D7785,N,Transaction Cancelled
7912,13310,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,Card,39,9/15/2021 17:46,Spain,Madrid,internationalfood.com,INTGFD23DB3D1695,Y,
391,10444,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,Card,31.2,7/26/2022 11:11,Sweden,Luleå,amazon.com,INTGFD23DB3D1121,Y,
2674,11278,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,Internet Banking,31.2,4/4/2022 4:24,Sweden,Luleå,globalfood.com,INTGFD23DB3D3599,Y,
