order_id,customer_id,customer_name,product_id,product_name,product_category,qty,payment_type,price,datetime,country,city,eommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
10573,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,45,Wire Transfer,39,7/28/2022 16:37,Mexico,Mexico City,globalfood.com,INTGFD23DB3D1142,Y,
11414,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,18,Internet Banking,39,7/5/2022 4:18,Mexico,Mexico City,internationalfoodshop.com,INTGFD23DB3D4075,N,Transaction Cancelled
12250,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,20,Internet Banking,39,12/24/2021 15:11,Mexico,Mexico City,globalfood.com,INTGFD23DB3D7001,Y,
13086,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,15,UPI,39,12/12/2021 17:41,Mexico,Mexico City,internationalfood.com,INTGFD23DB3D911,Y,
13922,3,Antonio Moreno TaquerÃƒÆ’Ã‚Â­a,17,Alice Mutton,Meat/Poultry,12,Wire Transfer,39,11/16/2021 4:34,Mexico,Mexico City,globalfood.com,INTGFD23DB3D3837,Y,
10801,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,15,Internet Banking,39,3/8/2022 6:53,Spain,Madrid,amazon.com,INTGFD23DB3C170,N,Bank Declined
11638,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,10,Internet Banking,39,4/15/2022 15:32,Spain,Madrid,yummybazaar.com,INTGFD23DB3D4859,Y,
12474,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,24,Internet Banking,39,8/21/2021 4:16,Spain,Madrid,internationalfood.com,INTGFD23DB3D7785,N,Transaction Cancelled
13310,8,BÃƒÆ’Ã‚Â³lido Comidas preparadas,17,Alice Mutton,Meat/Poultry,15,Card,39,9/15/2021 17:46,Spain,Madrid,internationalfood.com,INTGFD23DB3D1695,Y,
10444,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,40,Card,31.2,7/26/2022 11:11,Sweden,Luleå,amazon.com,INTGFD23DB3D1121,Y,
11278,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,8,Internet Banking,31.2,4/4/2022 4:24,Sweden,Luleå,globalfood.com,INTGFD23DB3D3599,Y,
12114,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,10,Card,31.2,8/23/2021 21:48,Sweden,Luleå,amazon.com,INTGFD23DB3D6525,Y,
12950,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,20,Internet Banking,31.2,12/8/2021 11:05,Sweden,Luleå,yummybazaar.com,INTGFD23DB3D435,Y,
13786,5,Berglunds snabbkÃƒÆ’Ã‚Â¶p,17,Alice Mutton,Meat/Poultry,3,Internet Banking,31.2,9/22/2021 5:54,Sweden,Luleå,amazon.com,INTGFD23DB3D3361,Y,
10265,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,6,Internet Banking,31.2,3/2/2022 12:18,France,Strasbourg,yummybazaar.com,INTGFD23DB3C161,N,Transaction Cancelled
11097,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,25,Internet Banking,31.2,6/23/2022 19:26,France,Strasbourg,amazon.com,INTGFD23DB3C429,Y,
11932,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,15,Internet Banking,31.2,4/24/2022 14:26,France,Strasbourg,yummybazaar.com,INTGFD23DB3C846,Y,
12768,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,35,Wire Transfer,31.2,12/11/2021 20:50,France,Strasbourg,internationalfoodshop.com,INTGFD23DB3C1264,Y,
13604,7,Blondel pÃƒÆ’Ã‚Â¨re et fils,17,Alice Mutton,Meat/Poultry,30,Wire Transfer,31.2,8/17/2021 9:50,France,Strasbourg,internationalfoodshop.com,INTGFD23DB3C394,Y,
10871,9,Bon app',17,Alice Mutton,Meat/Poultry,5,UPI,39,1/3/2022 8:25,France,Marseille,amazon.com,INTGFD23DB3D414,Y,
11712,9,Bon app',17,Alice Mutton,Meat/Poultry,50,Internet Banking,39,1/24/2022 21:53,France,Marseille,yummybazaar.com,INTGFD23DB3C736,Y,
12548,9,Bon app',17,Alice Mutton,Meat/Poultry,8,Internet Banking,39,9/1/2021 10:07,France,Marseille,globalfood.com,INTGFD23DB3C1154,Y,
13384,9,Bon app',17,Alice Mutton,Meat/Poultry,4,Internet Banking,39,7/22/2021 7:04,France,Marseille,globalfood.com,INTGFD23DB3C284,Y,
10431,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,80,UPI,31.2,4/27/2022 9:50,Canada,Tsawassen,amazon.com,INTGFD23DB3C165,Y,
10949,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,20,Internet Banking,39,5/7/2022 11:24,Canada,Tsawassen,internationalfood.com,INTGFD23DB3C65,Y,
11266,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,40,Card,31.2,6/14/2022 19:01,Canada,Tsawassen,internationalfoodshop.com,INTGFD23DB3D3557,Y,
11783,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,20,Wire Transfer,39,3/23/2022 13:57,Canada,Tsawassen,internationalfood.com,INTGFD23DB3D5370,N,Bank Declined
12101,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,10,Card,31.2,11/2/2021 7:26,Canada,Tsawassen,internationalfoodshop.com,INTGFD23DB3C931,Y,
12619,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,60,Internet Banking,39,11/10/2021 17:55,Canada,Tsawassen,yummybazaar.com,INTGFD23DB3D8296,Y,
12937,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,21,Internet Banking,31.2,12/10/2021 8:33,Canada,Tsawassen,amazon.com,INTGFD23DB3C61,N,Bank Declined
13455,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,4,Card,39,11/11/2021 13:04,Canada,Tsawassen,internationalfoodshop.com,INTGFD23DB3D2206,Y,
13773,10,Bottom-Dollar Markets,17,Alice Mutton,Meat/Poultry,2,Internet Banking,31.2,8/26/2021 21:58,Canada,Tsawassen,amazon.com,INTGFD23DB3C479,Y,
10890,18,Du monde entier,17,Alice Mutton,Meat/Poultry,8,Internet Banking,39,1/28/2022 17:17,France,Nantes,yummybazaar.com,INTGFD23DB3D1163,Y,
11729,18,Du monde entier,17,Alice Mutton,Meat/Poultry,10,Wire Transfer,39,3/7/2022 14:43,France,Nantes,yummybazaar.com,INTGFD23DB3C745,Y,
